time,ax,ay,az,wx,wy,wz,participant,label,type
0 days 00:00:00.301000,0.02,0.0,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.303000,0.02,0.0,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.313000,0.02,0.0,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.314000,0.01,0.01,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.319000,0.01,0.01,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.320000,0.01,0.01,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.335000,0.01,0.01,0.23,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.336000,0.01,0.01,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.337000,0.01,0.01,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.338000,-0.01,-0.01,0.19,0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.340000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.342000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.344000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.346000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.347000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.348000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.350000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.352000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.354000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.369000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.370000,-0.02,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.371000,0.03,-0.02,0.07,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.372000,0.03,-0.02,0.07,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.373000,0.03,-0.02,0.07,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.377000,0.03,-0.02,0.07,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.380000,0.0,-0.06,0.08,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.381000,0.0,-0.06,0.08,-0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.383000,0.0,-0.06,0.08,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.387000,0.0,-0.06,0.08,0.01,-0.01,0.0,Ali,1,0
0 days 00:00:00.389000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.391000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.393000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.409000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.410000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.411000,-0.02,-0.02,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.412000,0.01,0.03,0.35,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.416000,0.01,0.03,0.35,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.417000,0.01,0.03,0.35,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.420000,0.03,0.03,0.13,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.421000,0.03,0.03,0.13,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.424000,0.03,0.03,0.13,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.426000,0.03,0.03,0.13,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.427000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.429000,0.0,-0.01,0.12,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.432000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.434000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.448000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.449000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.450000,0.0,-0.01,0.12,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.452000,-0.02,-0.03,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.454000,-0.02,-0.03,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.457000,-0.02,-0.03,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.460000,-0.01,0.01,0.15,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.462000,-0.01,0.01,0.15,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.464000,-0.01,0.01,0.15,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.466000,-0.01,0.01,0.15,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.467000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.468000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.476000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.477000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.489000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.490000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.491000,0.0,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.492000,0.02,-0.01,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.493000,0.02,-0.01,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.498000,0.02,-0.01,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.499000,0.02,-0.01,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.502000,0.01,0.0,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.504000,0.01,0.0,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.506000,0.01,0.0,0.25,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.507000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.509000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.515000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.516000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.530000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.531000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.532000,0.02,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.533000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.534000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.537000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.538000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.539000,0.01,-0.06,0.17,0.0,0.0,0.0,Ali,1,0
